Frequency,M,Station,On,Off,Language,Site,TX_Country,Days,Target,Notes,Pwr,Azi,Org_Country,Source,Date
9870000,AM,BBC,629,700,Hausa,Woofferton,England,smtwtfs,WAf,0,250,158,UK,BAB,
9870000,AM,BBC,629,700,Hausa,Woofferton,England,smtwtfs,WAf,w,,,UK,EiBi,
9870000,AM,BBC,629,700,Hausa,Woofferton,England,smtwtfs,46SE,HAUSA,250,158,UK,HFCC,
9870000,AM,BBC,629,700,Hausa,Woofferton,England,smtwtfs,,BBC b15,250,158,,Aoki,
9870000,AM,AIR,845,1200,Hindi,Bangalore,India,smtwtfs,41N,,500,35 ,India,HFCC,
9870000,AM,AIR Vividh Bharati,845,1200,Hindi,Bengaluru,India,smtwtfs,SAs,b,,,India,EiBi,
9870000,AM,AIR (Vividh Bharati),900,1200,Hindi,Bengaluru,India,smtwtfs,,AIR b15,500,174,,Aoki,
9870000,DRM,All India Radio,900,1200,Vividh Bharati,Bengaluru,India,smtwtfs,0,Vividh Bharati,500,0,India,VU2JOS,
9870000,AM,V.Russia,900,1300,Russian,Moskva,Russ - Eur,smtwtfs,29SW,,200,190,Russia,HFCC,
9870000,DRM,BBC,1200,1230,English,Moosbrunn,Austria,..t....,CEu,/AUT,,,UK,EiBi,
9870000,AM,BBC,1200,1400,English,Moosbrunn,Austria,...w...,W.Eur,0,100,295,UK,BAB,
9870000,DRM,BBC,1200,1400,English,Moosbrunn,Austria,...w...,"27SE,28NW",DRM_EUR,100,295,UK,HFCC,
9870000,AM,AIR,1230,1740,Hindi,Bangalore,India,smtwtfs,41N,,500,35 ,India,HFCC,
9870000,AM,AIR (Vividh Bharati),1230,1740,Hindi,Bengaluru,India,smtwtfs,,AIR b15,500,174,,Aoki,
9870000,DRM,All India Radio,1245,1740,Vividh Bharati,Bengaluru,India,smtwtfs,0,Vividh Bharati,500,0,India,VU2JOS,
9870000,AM,China Radio Intl,1300,1400,English,"Xian-Xianyang ""594""",China,smtwtfs,SEA,x,,,China,EiBi,
